job_id,title,company,location,modality,application_type,short_link,submitted
3972312896,Analista Programador Java EE,knowmad mood,"Comunidad de Madrid, España·Publicado de nuevohace 1 mes·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/3972312896, YES
4121086378,Ingeniero de software - Java,Bertrandt Group,"Getafe, Comunidad de Madrid, España·Publicado de nuevohace 1 mes·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4121086378, YES
4202843949,Desarrollador/a de .NET,Nunegal Consulting,"La Coruña, Galicia / Galiza, España·Publicado de nuevohace 1 hora·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,simple,https://www.linkedin.com/jobs/view/4202843949, YES
4207937103,Desarrolladores Java,Softtek,"Madrid, Comunidad de Madrid, España·hace 4 semanas·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4207937103, YES
4216382117,Fullstack Developer  (Node.js),AMURA IT,"Madrid, Comunidad de Madrid, España·hace 2 semanas·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4216382117, YES
4099730217,Desarrollador full stack,Grupo aFinance,"Barcelona, Cataluña, España·Publicado de nuevohace 6 días·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4099730217, YES
4214738135,Java developer with devops,SCUBE,"Madrid, Comunidad de Madrid, España·hace 2 semanas·33 solicitudesEvaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4214738135, YES
4206502987,Full Stack Software Engineer (Freelance),VISEO IBERIA,"Madrid, Comunidad de Madrid, España·Publicado de nuevohace 1 semana·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,simple,https://www.linkedin.com/jobs/view/4206502987, NO
4200688674,Software Engineer Java,NTT DATA Europe & Latam,"Madrid, Comunidad de Madrid, España·Publicado de nuevohace 6 días·61 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4200688674, YES
4214025349,FullStack Developers - 100% Remoto,BCNC GROUP,España·hace 2 semanas·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,simple,https://www.linkedin.com/jobs/view/4214025349, YES
4197924238,Analista Programador/a Senior Inteligencia Artificial,Ayesa,"Madrid, Comunidad de Madrid, España·Publicado de nuevohace 1 semana·36 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4197924238, YES
4218291155,Developer Python/AWS,Plexus Tech,Madrid y alrededores·hace 1 semana·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,simple,https://www.linkedin.com/jobs/view/4218291155, YES
4205933299,Java Software Engineering - 100% REMOTO,UST España & Latam,España·Publicado de nuevohace 5 días·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,simple,https://www.linkedin.com/jobs/view/4205933299, YES
4221509331,Data Engineer Junior,Capitole,"Comunidad de Madrid, España·hace 6 días·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa",HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,simple,https://www.linkedin.com/jobs/view/4221509331, YES
4156198571,Backend Developer,idealista,España·Publicado de nuevohace 3 semanas·Más de 100 solicitudesPromocionado por técnico de selección·Evaluando solicitudes de forma activa,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,simple,https://www.linkedin.com/jobs/view/4156198571, YES
